Date,Salesperson,Customer Name,Car Make,Car Model,Car Type,Car Year,Sale Price,Commission Rate,Commission Earned
2022-05-10,Monica Moore MD,Brandon Kim,Chevrolet,Silverado,MiniVan,2016,19018,0.067879558,1290.93
2022-05-14,Eric Lopez,Shannon Sutton,Honda,Altima,SUV,2021,27067,0.104673188,2833.19
2022-10-16,Ashley Ramos,Mr. Kyle Patrick MD,Honda,Civic,MiniVan,2022,31238,0.098555281,3078.67
2023-02-01,Norma Watkins,Damon Baker,Chevrolet,Civic,Hatchback,2012,28865,0.124313596,3588.31
2023-02-23,Patrick Harris,Amy Burns,Honda,Corolla,Sedan,2012,25187,0.08328041,2097.58
2022-09-08,Scott Parker,Adrian Miller,Chevrolet,Corolla,Sedan,2022,45561,0.116254342,5296.66
2022-06-09,Patrick Harris,Jesse Walker,Chevrolet,F-150,Sedan,2014,15751,0.102110742,1608.35
2022-06-01,Norma Watkins,Seth Horne,Nissan,Silverado,Sedan,2016,24664,0.124724337,3076.2
2022-05-24,Scott Parker,Zachary Freeman,Toyota,Civic,Hatchback,2012,46092,0.079424325,3660.83
2022-09-23,Patrick Harris,Christopher Cruz,Toyota,Corolla,Hatchback,2014,32968,0.118714078,3913.77
2022-06-13,Terry Perkins MD,Michael Smith,Ford,Corolla,Convertible,2011,13261,0.124442405,1650.23
2023-02-14,Norma Watkins,Mary Perry,Chevrolet,Corolla,Sedan,2019,45162,0.133706822,6038.47
2023-03-16,Eric Lopez,Audrey Gomez,Honda,Civic,Hatchback,2018,28160,0.092253837,2597.87
2023-04-04,Scott Parker,Sarah Watkins,Ford,Civic,Sedan,2013,45334,0.136882742,6205.44
2022-09-21,Scott Parker,Brent Mays,Toyota,Altima,Sedan,2013,24034,0.091313069,2194.62
2022-06-23,Scott Parker,Phillip Cox,Toyota,Altima,Sedan,2022,18209,0.0972776,1771.33
2022-06-04,Roberto Rose,Jamie Smith,Honda,Corolla,Sedan,2015,23255,0.054744915,1273.09
2022-12-02,Monica Moore MD,Chase Oneill,Ford,Corolla,Sedan,2022,17038,0.081520369,1388.94
2023-01-23,Ashley Brown,John Goodwin,Ford,Altima,SUV,2020,25964,0.098218645,2550.15
2023-03-13,Monica Moore MD,James Turner,Nissan,F-150,Hatchback,2016,10872,0.109546904,1190.99
2022-12-31,Eric Lopez,Mary Wong,Toyota,Silverado,Hatchback,2018,17650,0.105740363,1866.32
2022-12-29,Scott Parker,Christopher Alexander,Ford,Civic,Hatchback,2013,25256,0.055620882,1404.76
2023-04-16,Ashley Ramos,Thomas Blankenship,Chevrolet,Altima,MiniVan,2014,31462,0.103951021,3270.51
2022-10-16,Ashley Brown,Leslie Shepherd,Ford,Civic,MiniVan,2020,12512,0.111586664,1396.17
2022-10-18,Ashley Brown,Peter Cole,Toyota,Altima,SUV,2012,34884,0.066475198,2318.92
2022-05-14,Terry Perkins MD,Ronald Sullivan,Toyota,Altima,SUV,2020,18818,0.055006177,1035.11
2022-10-06,Terry Perkins MD,Erika Davis,Ford,F-150,SUV,2022,28645,0.102481658,2935.59
2023-01-27,Roberto Rose,Catherine Ortega,Nissan,Silverado,Hatchback,2011,35883,0.141968814,5094.27
2023-04-05,Norma Watkins,Adrian Parker,Ford,Silverado,Convertible,2014,44008,0.085446035,3760.31
2022-12-09,Terry Perkins MD,Kelly Tran,Ford,Civic,Hatchback,2012,30782,0.054496153,1677.5
2022-10-10,Terry Perkins MD,Dawn Bell,Ford,Silverado,MiniVan,2014,20145,0.10166231,2047.99
2022-10-26,Ashley Ramos,Brianna Henderson,Nissan,Altima,SUV,2019,11849,0.117263528,1389.46
2022-12-24,Monica Moore MD,Eric Edwards,Ford,F-150,Sedan,2011,45422,0.143051189,6497.67
2023-03-21,Eric Lopez,Frances Castillo,Honda,Corolla,Sedan,2016,17047,0.126456915,2155.71
2022-11-20,Ashley Ramos,Mike Harris,Ford,Corolla,SUV,2021,22547,0.127145054,2866.74
2022-07-18,Terry Perkins MD,Madeline Mosley,Ford,Civic,MiniVan,2021,45789,0.124917189,5719.83
2023-03-14,Terry Perkins MD,Joshua Brown,Honda,F-150,Hatchback,2012,23467,0.145472178,3413.8
2022-08-17,Roberto Rose,Jason Hernandez,Toyota,F-150,MiniVan,2010,18895,0.061012214,1152.83
2023-02-21,Monica Moore MD,Richard Warner,Ford,F-150,Hatchback,2016,36774,0.147160169,5411.67
2022-05-29,Scott Parker,Eric Durham,Nissan,F-150,Hatchback,2020,22348,0.077804785,1738.78
2022-07-05,Patrick Harris,Dustin Taylor,Chevrolet,Civic,Hatchback,2016,45924,0.076383844,3507.85
2022-07-17,Roberto Rose,Katherine Henry,Nissan,Silverado,SUV,2010,13970,0.083736968,1169.81
2022-12-14,Norma Watkins,Elizabeth Jimenez,Chevrolet,Silverado,Sedan,2013,31606,0.117649959,3718.44
2022-08-11,Norma Watkins,Carl Maldonado,Ford,Corolla,Hatchback,2021,39594,0.099849612,3953.45
2023-05-01,Monica Moore MD,Holly Jones,Nissan,F-150,MiniVan,2022,42275,0.125680852,5313.16
2023-01-06,Norma Watkins,Joseph Sutton,Toyota,Corolla,Hatchback,2016,23193,0.120210117,2788.03
2023-04-27,Ashley Ramos,Anna Owen,Honda,Altima,Hatchback,2017,29381,0.121837894,3579.72
2022-10-19,Monica Moore MD,Karen Rogers,Chevrolet,F-150,Hatchback,2010,25731,0.08813935,2267.91
2022-06-27,Ashley Brown,Lisa Harding,Ford,F-150,Convertible,2015,25131,0.136002949,3417.89
2022-05-12,Ashley Brown,Sarah Martin,Nissan,Civic,MiniVan,2012,39840,0.113438639,4519.4
2022-08-08,Monica Moore MD,Blake Barrera,Ford,Civic,SUV,2016,24820,0.104056719,2582.69
2022-06-28,Patrick Harris,Jesse Miller,Toyota,Civic,Sedan,2019,47484,0.114145803,5420.1
2022-07-16,Monica Moore MD,Nicholas Thomas,Nissan,F-150,Sedan,2022,26704,0.131921532,3522.83
2022-05-28,Norma Watkins,Lisa Robinson,Chevrolet,Altima,Hatchback,2012,19875,0.103349339,2054.07
2022-12-11,Eric Lopez,Jennifer Williams,Ford,Altima,MiniVan,2019,41513,0.05081388,2109.44
2023-04-01,Eric Lopez,Kenneth Hernandez,Ford,Corolla,Convertible,2014,33780,0.111545184,3768
2023-04-07,Terry Perkins MD,Alejandra Olson,Toyota,Altima,SUV,2014,15008,0.056183241,843.2
2023-04-15,Roberto Rose,Mary Nielsen,Ford,Corolla,Convertible,2021,13143,0.140933003,1852.28
2023-04-19,Roberto Rose,Cody Benton,Toyota,Civic,Convertible,2018,26323,0.09552041,2514.38
2022-09-27,Ashley Brown,Christopher Morris,Nissan,Civic,Sedan,2015,39057,0.109205515,4265.24
2022-09-26,Eric Lopez,Rebecca Boone,Ford,Altima,Hatchback,2012,11738,0.089704866,1052.96
2023-01-24,Patrick Harris,Gary Rowland,Honda,Silverado,Convertible,2020,48705,0.145584806,7090.71
2022-05-21,Ashley Brown,Kathleen Stone,Chevrolet,Civic,MiniVan,2012,20812,0.107514484,2237.59
2022-05-12,Norma Watkins,Patricia Serrano,Toyota,Silverado,Hatchback,2016,44286,0.092961589,4116.9
2022-08-09,Monica Moore MD,Daniel Carpenter,Toyota,Civic,MiniVan,2014,22149,0.063746566,1411.92
2022-08-14,Ashley Brown,David Peck,Chevrolet,Civic,Convertible,2013,47797,0.118523106,5665.05
2023-03-13,Terry Perkins MD,Robert Shaw,Ford,Silverado,MiniVan,2012,32458,0.12279629,3985.72
2023-01-12,Terry Perkins MD,William Weber,Nissan,Altima,MiniVan,2020,45815,0.056991191,2611.05
2022-10-07,Eric Lopez,Benjamin Wilson,Chevrolet,Corolla,Sedan,2020,18832,0.148850934,2803.16
2022-08-22,Scott Parker,Mark Olson,Ford,F-150,MiniVan,2017,34044,0.077203345,2628.31
2022-07-11,Terry Perkins MD,Tiffany Arnold,Ford,Corolla,Hatchback,2013,14767,0.10428729,1540.01
2022-07-31,Eric Lopez,Meredith Gomez,Honda,F-150,Sedan,2012,49209,0.102078921,5023.2
2022-12-31,Norma Watkins,Christina Holmes,Honda,Silverado,Convertible,2021,12075,0.146471317,1768.64
2022-07-18,Ashley Ramos,Diana Brown,Nissan,Altima,MiniVan,2017,32176,0.083234192,2678.14
2022-09-21,Terry Perkins MD,Eric Tucker,Honda,F-150,MiniVan,2011,21038,0.086813165,1826.38
2022-06-08,Monica Moore MD,Krista Walters,Chevrolet,F-150,MiniVan,2016,22274,0.112182648,2498.76
2022-07-17,Patrick Harris,Gregory Phillips Jr.,Chevrolet,Silverado,MiniVan,2020,36523,0.147075072,5371.62
2022-05-02,Eric Lopez,Pamela Sullivan,Ford,Altima,Hatchback,2018,48314,0.146809718,7092.96
2022-10-12,Ashley Brown,Angela Dudley,Honda,Altima,Hatchback,2012,29868,0.14301544,4271.59
2022-05-17,Eric Lopez,Rachel Dillon,Toyota,Civic,Sedan,2020,48964,0.07435728,3640.83
2022-06-07,Monica Moore MD,Crystal Davis,Nissan,Silverado,Convertible,2012,40470,0.130053016,5263.25
2022-08-13,Eric Lopez,Joseph James,Honda,F-150,Sedan,2019,47642,0.117699152,5607.42
2023-04-28,Monica Moore MD,Cameron James,Honda,F-150,Convertible,2022,17640,0.130832234,2307.88
2022-07-25,Roberto Rose,Heather Heath,Chevrolet,Silverado,Convertible,2018,34309,0.1103584,3786.29
2022-08-21,Norma Watkins,James Perkins,Ford,Silverado,SUV,2021,34050,0.121878997,4149.98
2023-03-31,Eric Lopez,Leslie Kim,Ford,Civic,Convertible,2013,19851,0.077311844,1534.72
2022-10-14,Norma Watkins,Henry King,Honda,Corolla,MiniVan,2014,33518,0.104796131,3512.56
2022-06-06,Ashley Brown,Jacqueline Ortiz,Ford,Civic,Sedan,2022,15157,0.121927639,1848.06
2022-06-25,Norma Watkins,Joseph Pierce,Ford,F-150,Convertible,2014,17214,0.104834814,1804.63
2022-05-12,Norma Watkins,Caroline Cooley,Toyota,Altima,Sedan,2019,20231,0.052301444,1058.11
2022-06-23,Norma Watkins,Kathy Shelton,Ford,F-150,Convertible,2015,22516,0.074530461,1678.13
2022-06-28,Patrick Harris,Douglas Roach,Nissan,Corolla,Hatchback,2021,48317,0.137544482,6645.74
2022-05-30,Patrick Harris,Kristin Hall,Chevrolet,Corolla,Convertible,2011,27734,0.143140179,3969.85
2022-09-15,Norma Watkins,Kevin Williams,Ford,Corolla,Sedan,2010,32473,0.062606618,2033.02
2022-08-17,Terry Perkins MD,Shaun Brown,Toyota,F-150,Sedan,2013,25708,0.105906256,2722.64
2022-07-07,Ashley Ramos,Mariah Lee,Ford,Silverado,SUV,2016,39844,0.066639078,2655.17
2022-05-03,Roberto Rose,Jason Davis,Ford,Corolla,MiniVan,2020,34365,0.076107368,2615.43
2022-09-26,Terry Perkins MD,Mrs. Michele Edwards,Nissan,F-150,Convertible,2010,41626,0.118691638,4940.66
2022-09-02,Roberto Rose,Michael Moore,Chevrolet,Altima,Hatchback,2012,37275,0.063283803,2358.9
2022-12-18,Patrick Harris,William Wilkerson,Ford,Altima,Sedan,2018,15427,0.080783407,1246.25
2022-05-28,Terry Perkins MD,Sara King,Honda,Silverado,Sedan,2018,22897,0.078824478,1804.84
2023-03-27,Ashley Ramos,George Sanchez,Ford,Altima,Hatchback,2021,33210,0.081960773,2721.92
2022-12-24,Roberto Rose,Nicole Vargas,Honda,F-150,SUV,2015,38133,0.099197702,3782.71
2022-09-12,Ashley Brown,Kevin Nguyen,Honda,F-150,Hatchback,2014,49261,0.105238885,5184.17
2022-09-05,Ashley Brown,Christina Roberts,Ford,Altima,SUV,2016,13572,0.069062806,937.32
2023-01-22,Roberto Rose,Tammy Cain,Ford,Civic,Convertible,2019,20795,0.121036794,2516.96
2022-09-28,Eric Lopez,Jessica Washington,Ford,Corolla,MiniVan,2018,32490,0.070217941,2281.38
2023-02-19,Ashley Ramos,Jesse Snow,Toyota,F-150,MiniVan,2016,16150,0.108056752,1745.12
2022-10-22,Terry Perkins MD,Antonio Estrada,Ford,Silverado,Sedan,2011,27218,0.053590363,1458.62
2022-08-06,Terry Perkins MD,Jonathan Chaney,Honda,F-150,Sedan,2021,28765,0.064203076,1846.8
2023-02-04,Ashley Brown,Johnathan Ramos,Chevrolet,F-150,SUV,2020,48884,0.063095077,3084.34
2023-01-24,Norma Watkins,Andrew Hudson,Nissan,Corolla,Hatchback,2020,42405,0.097317108,4126.73
2023-04-25,Monica Moore MD,Jeremy Spence,Toyota,Silverado,SUV,2017,39713,0.075985648,3017.62
2022-05-12,Norma Watkins,Jesse Wilson,Ford,Altima,Sedan,2016,29570,0.146614185,4335.38
2023-02-04,Patrick Harris,Casey Stone,Chevrolet,Silverado,MiniVan,2011,39825,0.097734318,3892.27
2022-08-08,Ashley Ramos,Anna Diaz,Chevrolet,Silverado,SUV,2016,27785,0.139969404,3889.05
2022-10-30,Ashley Ramos,Chad Brown,Honda,Silverado,MiniVan,2022,39291,0.08776658,3448.44
2022-12-05,Ashley Brown,William Lynn,Nissan,Civic,MiniVan,2020,45878,0.117678953,5398.88
2022-06-17,Eric Lopez,Benjamin Robertson,Toyota,F-150,MiniVan,2015,26838,0.058580988,1572.2
2022-09-29,Norma Watkins,Brandon Turner,Chevrolet,Altima,SUV,2011,46924,0.111066688,5211.69
2023-03-21,Scott Parker,Michael Whitaker,Ford,Corolla,Convertible,2020,47651,0.054327131,2588.74
2022-09-22,Norma Watkins,Cynthia Jones,Nissan,Corolla,Convertible,2013,14458,0.115309918,1667.15
2022-12-27,Ashley Brown,Kyle Stanley,Chevrolet,Corolla,Sedan,2017,30993,0.147862009,4582.69
2022-09-19,Patrick Harris,Dennis Camacho,Chevrolet,F-150,Convertible,2014,15844,0.066035232,1046.26
2022-07-17,Ashley Brown,Jordan Bell,Toyota,Silverado,SUV,2014,36828,0.131398555,4839.15
2022-08-06,Terry Perkins MD,Stephanie Carter,Toyota,Altima,SUV,2022,30713,0.113225416,3477.49
2022-09-09,Norma Watkins,Christopher Perry,Chevrolet,F-150,Hatchback,2015,44518,0.130531497,5811
2023-03-26,Ashley Ramos,Tracy Vaughn,Toyota,Corolla,SUV,2011,43592,0.099287469,4328.14
2023-01-18,Terry Perkins MD,Stephanie Jones,Honda,Altima,SUV,2010,19474,0.114695954,2233.59
2022-07-02,Roberto Rose,Karen Roth,Ford,F-150,SUV,2013,41322,0.063977921,2643.7
2022-11-16,Scott Parker,Aaron Medina,Toyota,Civic,Sedan,2014,23582,0.147095768,3468.81
2023-01-06,Monica Moore MD,Mckenzie Zavala,Ford,Silverado,Convertible,2020,22648,0.063995444,1449.37
2022-05-11,Terry Perkins MD,Katherine Henderson,Honda,Altima,SUV,2010,37699,0.106638356,4020.16
2023-02-03,Ashley Brown,Julie Jones,Nissan,Altima,MiniVan,2014,33157,0.133331383,4420.87
2022-05-30,Roberto Rose,Erin King,Nissan,Corolla,MiniVan,2021,28204,0.105018945,2961.95
2022-06-18,Terry Perkins MD,Loretta Diaz,Nissan,Altima,MiniVan,2022,42530,0.082907657,3526.06
2022-07-19,Patrick Harris,Dustin Lopez,Nissan,F-150,Convertible,2021,23810,0.117015964,2786.15
2022-07-01,Ashley Brown,Curtis Leonard,Honda,Civic,SUV,2016,42672,0.123137887,5254.54
2023-01-05,Monica Moore MD,Natalie Larson,Honda,Civic,Sedan,2021,18067,0.13397473,2420.52
2022-06-08,Terry Perkins MD,Matthew Guzman,Chevrolet,Corolla,MiniVan,2013,29710,0.086331454,2564.91
2022-09-23,Eric Lopez,Grant Lane,Honda,Altima,MiniVan,2013,30154,0.091494419,2758.92
2022-11-13,Norma Watkins,Jessica Wilson,Toyota,Corolla,Sedan,2013,34377,0.078920147,2713.04
2022-06-19,Roberto Rose,Raymond Hinton,Honda,Altima,Sedan,2018,13827,0.062681812,866.7
2022-12-02,Roberto Rose,Rebecca Rasmussen,Nissan,Civic,MiniVan,2018,21151,0.071833004,1519.34
2022-05-26,Eric Lopez,Angela Santos,Nissan,Silverado,SUV,2012,12403,0.083677882,1037.86
2023-04-19,Monica Moore MD,Jessica Collins MD,Ford,Corolla,SUV,2020,39479,0.103362388,4080.64
2023-01-11,Eric Lopez,Shane Wilson,Chevrolet,Corolla,SUV,2020,42351,0.059670817,2527.12
2022-09-17,Terry Perkins MD,Zachary Reese,Toyota,Silverado,Convertible,2011,13112,0.092264679,1209.77
2022-08-07,Patrick Harris,Natalie Robertson,Honda,Corolla,Hatchback,2017,11248,0.147575436,1659.93
2022-12-30,Scott Parker,Steven Liu,Chevrolet,Altima,SUV,2016,35191,0.096900235,3410.02
2022-08-02,Scott Parker,Samuel Wolfe,Chevrolet,Altima,SUV,2018,43594,0.057084698,2488.55
2023-02-26,Ashley Ramos,Christopher Mason,Ford,Altima,SUV,2015,36964,0.147395046,5448.31
2022-11-12,Scott Parker,Matthew Larson,Nissan,Altima,Hatchback,2018,41141,0.131314717,5402.42
2023-04-19,Ashley Brown,Kelly Miller,Nissan,Civic,Convertible,2015,16875,0.134927986,2276.91
2022-06-20,Ashley Ramos,Tiffany Stewart,Ford,Civic,Convertible,2016,34503,0.109229695,3768.75
2022-08-04,Ashley Ramos,Chris Baker,Ford,Civic,SUV,2013,49225,0.11718011,5768.19
2023-04-19,Patrick Harris,Sandra Hart,Toyota,Civic,Convertible,2015,43635,0.144807114,6318.66
2022-08-25,Norma Watkins,Cory Green,Chevrolet,F-150,Convertible,2015,15892,0.106485028,1692.26
2022-08-28,Scott Parker,Thomas White,Honda,Silverado,Hatchback,2022,37655,0.078801112,2967.26
2022-05-21,Monica Moore MD,Anthony Lopez,Toyota,Corolla,Hatchback,2021,26159,0.14636523,3828.77
2022-10-24,Norma Watkins,April Allen,Toyota,Silverado,SUV,2020,27854,0.10729293,2988.54
2022-12-12,Scott Parker,Kathleen Smith,Chevrolet,Civic,SUV,2017,31367,0.072717467,2280.93
2022-11-09,Scott Parker,Joshua Edwards,Ford,Silverado,Convertible,2012,45611,0.077783199,3547.77
2023-03-29,Patrick Harris,Rose Johnson,Chevrolet,F-150,Sedan,2017,47493,0.051674859,2454.19
2022-05-13,Scott Parker,Jean Ramirez,Nissan,F-150,Convertible,2013,38728,0.111280273,4309.66
2022-12-10,Patrick Harris,Brandon Walker,Toyota,Corolla,Convertible,2018,20474,0.104818293,2146.05
2023-01-25,Roberto Rose,Robert Henry DDS,Nissan,Corolla,Convertible,2017,27532,0.120323162,3312.74
2022-09-01,Terry Perkins MD,Paul Pham,Honda,Altima,MiniVan,2022,48674,0.101480119,4939.44
2023-03-06,Norma Watkins,Hannah Freeman,Nissan,F-150,SUV,2021,24435,0.091475176,2235.2
2022-05-12,Scott Parker,David Camacho,Honda,Silverado,Sedan,2014,12312,0.144252967,1776.04
2023-02-08,Norma Watkins,Dennis Cardenas,Toyota,Corolla,Convertible,2021,29298,0.076405583,2238.53
2023-01-28,Norma Watkins,Sherry Elliott,Toyota,F-150,Sedan,2014,49461,0.122389396,6053.5
2022-12-30,Ashley Brown,Sarah Evans,Honda,Altima,MiniVan,2011,24893,0.132947841,3309.47
2023-03-05,Monica Moore MD,Stephanie Mendez,Chevrolet,Altima,Convertible,2015,15463,0.138672834,2144.3
2022-06-10,Scott Parker,Joseph Davis,Chevrolet,F-150,Hatchback,2022,43427,0.101289257,4398.69
